PassengerId,Survived
892,0
893,1
894,0
895,0
896,1
897,1
898,1
899,0
900,0
901,0
902,1
903,1
904,0
905,0
906,0
907,1
908,0
909,1
910,0
911,0
912,1
913,1
914,0
915,0
916,0
917,1
918,1
919,0
920,1
921,1
922,0
923,1
924,0
925,1
926,0
927,0
928,0
929,0
930,1
931,1
932,1
933,0
934,0
935,1
936,1
937,1
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,1
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,0
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,1
975,1
976,1
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,1
990,0
991,1
992,1
993,0
994,0
995,0
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,0
1025,0
1026,0
1027,1
1028,0
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,0
1038,0
1039,0
1040,0
1041,1
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,0
1072,1
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,0
1080,0
1081,0
1082,1
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,0
1105,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,0
1135,1
1136,1
1137,0
1138,1
1139,0
1140,1
1141,0
1142,1
1143,0
1144,1
1145,0
1146,0
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,1
1154,0
1155,1
1156,0
1157,1
1158,0
1159,0
1160,0
1161,0
1162,1
1163,0
1164,1
1165,0
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,0
1174,1
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,1
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,0
1198,0
1199,1
1200,1
1201,1
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,1
1215,0
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,1
1223,1
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,1
1232,1
1233,0
1234,1
1235,0
1236,0
1237,0
1238,1
1239,0
1240,1
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,0
1250,0
1251,1
1252,0
1253,1
1254,1
1255,0
1256,0
1257,0
1258,1
1259,0
1260,1
1261,0
1262,0
1263,1
1264,1
1265,0
1266,1
1267,0
1268,1
1269,0
1270,0
1271,1
1272,0
1273,0
1274,1
1275,1
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,1
1283,0
1284,0
1285,0
1286,0
1287,0
1288,1
1289,0
1290,0
1291,0
1292,1
1293,0
1294,1
1295,0
1296,0
1297,1
1298,0
1299,1
1300,0
1301,0
1302,0
1303,0
1304,0
1305,1
1306,1
1307,0
1308,1
1309,0
